,Unnamed: 0.1,Unnamed: 0,food_name,food_group,food_sub_group,per_serving_household_measure, ,Energy (kcal),Protein (g),Total fat (g),Saturated fat (g),Dietary fibre (g),Carbohydrate (g),Cholesterol (mg),Sodium (mg),ALA,B-Carotene,Calcium,Carbohydrate,Carotenoid,Cholesterol,Dietary fibre,EPA+DHA,Energy,Folic Acid,Glycemic carbohydrate,Glycemic index,Isoflavones,LA,Lactose,Marine Collagen Peptide,Monounsaturated fat,Nitrogen,Omega-6,Omega-9,Pantothenic Acid,Phycocyanin,Polyunsaturated fat,Potassium,Protein,Retinol,Riboflavin,Saturated fat,Selenium,Sodium,Starch,Sugar,Taurine,Thiamin,Thiamine,Total fat,Trans Fat,Vitamin A,Vitamin B1,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin C,Vitamin D,Water,Whole-grains,test,Zinc,Dietary Fibre (g),Cholesterol (),Protein (),Saturated Fat (g),Carbohydrate (),Total fat (),Saturated fat (),Sodium (),Cholesterol (g),Total Fat (g),Dietary fibre (),Energy (kCal)
0,0,0,"2-in-1 coffee powder, with creamer",BEVERAGES,Non-alcoholic beverages,Packet (12g),"2-in-1 coffee powder, with creamer",56.28 ,0.82 ,2.44 ,1.95 ,0.46 ,7.79 ,0.16 ,23.04 ,0,1.2 ,12 ,7.79 ,0,0.16 ,0.46 ,0,56.28 ,0,0,0,0,0,0,0,0.33 ,0.15 ,0,0,0,0,0.04 ,211.68 ,0.82 ,0.48 ,0.08 ,1.95 ,0,23.04 ,3.76 ,1.28 ,0,0.02 ,0,2.44 ,0.11 ,0.72 ,0,0,0,0,0,0,0.47 ,0,0,0 ,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,3 in 1 ready to drink coffee instant,BEVERAGES,Non-alcoholic beverages,Can (240g),3 in 1 ready to drink coffee instant,81.6 ,2.4 ,1.92 ,1.3 ,0.24 ,14.16 ,3.36 ,112.8 ,0,0 ,43.2 ,14.16 ,0,3.36 ,0.24 ,0,81.6 ,0,0,0,0,0,0,0,0.34 ,0.45 ,0,0,0,0,0.05 ,326.4 ,2.4 ,5.76 ,0.1 ,1.3 ,0 ,112.8 ,0 ,14.16 ,0,0 ,0,1.92 ,0.05 ,5.76 ,0,0,0,0,0 ,0,219.84 ,0,0,0.48 ,0,0,0,0,0,0,0,0,0,0,0,0
2,2,2,"3-in-1 coffee powder, low sugar",BEVERAGES,Non-alcoholic beverages,Sachet (17g),"3-in-1 coffee powder, less sugar, low fat (HCS)",73.19 ,0.77 ,1.24 ,0.72 ,0.54 ,14.74 ,0,8.51 ,0,0,22.44 ,13.29 ,0,0,0.6 ,0,74.63 ,0,0,0,0,0,0,0,0 ,0.15 ,0,0,0,0,0 ,218.62 ,0.78 ,0,0.06 ,1.95 ,0,8.33 ,4.32 ,5.24 ,0,0 ,0,2.04 ,0,0,0,0,0,0,0 ,0,0.39 ,0,0,0.02 ,0,0,0,0,0,0,0,0,0,0,0,0
3,3,3,Apple Juice,BEVERAGES,Non-alcoholic beverages,Glass (250ml) (250g),Apple Juice,125 ,0,0,0,2 ,30 ,0,2.5 ,0,0 ,0 ,30 ,0 ,0 ,2 ,0 ,125 ,0 ,0,0,0 ,0,0 ,0 ,0 ,0,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.5 ,0 ,26 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,20 ,0 ,250 ,0 ,0,0 ,0,0,0,0,0,0,0,0,0,0,0,0
4,4,4,Apple juice,BEVERAGES,Non-alcoholic beverages,Glass (250ml) (250g),Apple Juice,125 ,0,0,0,2 ,30 ,0,2.5 ,0,0 ,12.5 ,24.75 ,0,0 ,0 ,0,100 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0 ,207.5 ,0 ,0 ,0 ,0 ,0,7.5 ,0 ,24.75 ,0,0.03 ,0,0 ,0 ,0 ,0,0,0,0,5.75 ,0,221.75 ,0,0,0 ,0,0,0,0,0,0,0,0,0,0,0,0
5,5,5,Apple juice drink,BEVERAGES,Non-alcoholic beverages,Cup (261g),Apple juice drink,104.27 ,0,0,0,0,26.36 ,0,23.49 ,0,7.83 ,10.44 ,26.36 ,0,0 ,0 ,0,104.27 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0 ,219.24 ,0 ,0 ,0 ,0 ,0 ,23.49 ,0 ,26.36 ,0,0 ,0,0 ,0,2.61 ,0,0,0,0,117.45 ,0,232.03 ,0,0,0.26 ,0,0,0,0,0,0,0,0,0,0,0,0
6,6,6,"Apple juice drink, with no added sugar",BEVERAGES,Non-alcoholic beverages,Glass (250ml) (250g),"Apple juice drink, with no added sugar",85 ,0,0,0,0.5 ,21.25 ,0,10 ,0,0 ,12.5 ,21.25 ,0,0 ,0.5 ,0,85 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0 ,182.5 ,0 ,0 ,0 ,0 ,0,10 ,0 ,21.25 ,0,0.03 ,0,0 ,0 ,0 ,0,0,0,0,60.25 ,0,225.25 ,0,0,0 ,0,0,0,0,0,0,0,0,0,0,0,0
7,7,7,Apricot nectar juice drink,BEVERAGES,Non-alcoholic beverages,Cup (265g),Apricot nectar juice drink,136.93 ,0.8 ,0,0,0,34.19 ,0,10.6 ,0,768.5 ,13.25 ,34.19 ,0,0 ,0,0,136.93 ,0,0,0,0,0,0,0,0 ,0.13 ,0,0,0,0,0 ,222.6 ,0.8 ,0 ,0 ,0 ,0 ,10.6 ,0 ,34.19 ,0,0 ,0,0 ,0,156.35 ,0,0,0,0,0 ,0,227.37 ,0,0,0 ,0,0,0,0,0,0,0,0,0,0,0,0
8,8,8,"Beer, lager, light malt",BEVERAGES,Alcoholic beverages,Can (500g),"Beer, lager, light malt",185 ,1.5 ,0,0,0,10 ,0,35 ,0,0 ,20 ,10 ,0,0 ,0 ,0,185 ,0,0,0,0,0,0,0,0 ,0.24 ,0,0,0,0,0 ,160 ,1.5 ,0 ,0,0 ,0.01 ,35 ,0 ,10 ,0,0 ,0,0 ,0,0 ,0,0,0,0,10 ,0,466.5 ,0,0,0 ,0,0,0,0,0,0,0,0,0,0,0,0
9,9,9,Benedictine D.O.M,BEVERAGES,Alcoholic beverages,Tablespoon (8g),Benedictine D.O.M,33.28 ,0.02 ,0,0,0,2.7 ,0,0.16 ,0,0 ,0 ,2.7 ,0,0 ,0 ,0,33.28 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0 ,0.16 ,0.02 ,0 ,0 ,0 ,0 ,0.16 ,0 ,1.7 ,0,0 ,0,0 ,0 ,0 ,0,0,0,0,0 ,0,5.29 ,0,0,0.01 ,0,0,0,0,0,0,0,0,0,0,0,0
